Trajectories
100
,,Patient 1:Unlabeled0,,,Patient 1:Unlabeled3,,,Patient 1:Unlabeled1,,,Patient 1:Unlabeled2,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
167,0,71.6801,713.349,61.8566,71.2368,673.631,62.1396,111.553,714.142,62.6448,111.484,673.272,62.284
168,0,71.6641,713.356,61.8585,71.2023,673.639,62.1496,111.326,714.077,62.5738,111.474,673.282,62.3108
169,0,71.6858,713.324,61.8646,71.2234,673.607,62.1454,111.317,714.077,62.5433,111.481,673.241,62.2948
170,0,71.7,713.355,61.8477,71.1802,673.57,62.1298,111.338,714.109,62.5636,111.473,673.25,62.3033
171,0,71.6844,713.351,61.8442,71.2159,673.59,62.1363,111.367,714.11,62.5696,111.475,673.252,62.3102
172,0,71.696,713.396,61.8394,71.2222,673.6,62.1066,111.349,714.113,62.5602,111.474,673.252,62.3162
173,0,71.7156,713.37,61.8519,71.1934,673.603,62.1586,111.342,714.074,62.5647,111.483,673.254,62.295
174,0,71.7244,713.404,61.8125,71.1603,673.557,62.1521,111.313,714.094,62.5461,111.489,673.251,62.3025
175,0,71.6802,713.336,61.861,71.2116,673.605,62.137,111.564,714.115,62.6393,111.494,673.263,62.2863
176,0,71.6913,713.362,61.8517,71.2356,673.649,62.106,111.378,714.092,62.5463,111.483,673.289,62.2907
177,0,71.7042,713.377,61.8345,71.1384,673.57,62.1274,111.315,714.162,62.5504,111.474,673.282,62.2874
178,0,71.7094,713.365,61.8316,71.248,673.624,62.127,111.577,714.171,62.645,111.475,673.278,62.3012
179,0,71.6892,713.354,61.8266,71.2514,673.61,62.107,111.549,714.119,62.6566,111.488,673.251,62.3033
180,0,71.6913,713.339,61.8495,71.2174,673.616,62.1268,111.341,714.023,62.5771,111.476,673.249,62.3052
181,0,71.7149,713.398,61.8163,71.2435,673.623,62.1352,111.544,714.13,62.6586,111.46,673.203,62.3326
182,0,71.7387,713.407,61.8243,71.2178,673.623,62.1508,111.537,714.121,62.6587,111.481,673.255,62.31
183,0,71.694,713.354,61.8431,71.1925,673.617,62.1281,111.553,714.191,62.6483,111.492,673.253,62.2845
184,0,71.705,713.347,61.8269,71.2376,673.636,62.1191,111.334,714.117,62.5401,111.457,673.216,62.3162
185,0,71.7085,713.378,61.8235,71.2182,673.586,62.1206,111.32,714.072,62.5276,111.479,673.234,62.3037
186,0,71.7106,713.374,61.8402,71.2043,673.572,62.1495,111.535,714.147,62.6589,111.476,673.251,62.3041
187,0,71.7025,713.353,61.8245,71.2126,673.593,62.1091,111.337,714.103,62.5414,111.488,673.251,62.3031
188,0,71.6362,713.334,61.8589,71.2373,673.632,62.1314,111.539,714.129,62.6519,111.481,673.264,62.3115
189,0,71.6774,713.332,61.8634,71.2225,673.592,62.1412,111.327,714.058,62.5997,111.456,673.217,62.3174
190,0,71.6792,713.358,61.8447,71.2323,673.636,62.1488,111.322,714.048,62.5646,111.458,673.223,62.3387
191,0,71.7395,713.402,61.823,71.2015,673.599,62.1374,111.349,714.103,62.5544,111.486,673.273,62.2907
192,0,71.6994,713.371,61.8482,71.2374,673.614,62.1475,111.314,714.104,62.5264,111.48,673.247,62.3024
193,0,71.6571,713.358,61.8637,71.2199,673.629,62.1485,111.304,714.103,62.5387,111.48,673.261,62.3126
194,0,71.7032,713.334,61.8651,71.231,673.615,62.141,111.558,714.17,62.6067,111.463,673.228,62.3132
195,0,71.6965,713.357,61.8673,71.2216,673.581,62.1534,111.571,714.158,62.6668,111.474,673.248,62.2932
196,0,71.6987,713.332,61.8453,71.2265,673.6,62.1485,111.552,714.151,62.6531,111.475,673.253,62.3088
197,0,71.7235,713.361,61.8433,71.1877,673.55,62.1233,111.547,714.132,62.6425,111.481,673.263,62.3063
198,0,71.6767,713.326,61.8536,71.2377,673.584,62.1365,111.565,714.125,62.6523,111.482,673.265,62.3052
199,0,71.7203,713.384,61.8229,71.2475,673.625,62.1273,111.559,714.154,62.646,111.467,673.241,62.3199
200,0,71.7031,713.319,61.8338,71.2322,673.626,62.1123,111.313,714.114,62.5429,111.487,673.247,62.3111
201,0,71.6286,713.339,61.8922,71.2057,673.57,62.1669,111.298,714.047,62.5461,111.476,673.252,62.3101
202,0,71.6764,713.318,61.8677,71.1861,673.567,62.1351,111.317,714.073,62.5503,111.48,673.265,62.2928
203,0,71.6974,713.348,61.8696,71.2298,673.616,62.1225,111.334,714.059,62.5688,111.495,673.264,62.3164
204,0,71.7007,713.309,61.8546,71.2521,673.581,62.0601,111.538,714.163,62.6459,111.483,673.262,62.3198
205,0,71.6851,713.312,61.8915,71.2488,673.624,62.1289,111.569,714.159,62.6487,111.475,673.252,62.2918
206,0,71.7145,713.401,61.8248,71.2441,673.643,62.1365,111.332,714.076,62.5572,111.485,673.253,62.3008
207,0,71.6657,713.34,61.8304,71.2001,673.588,62.1415,111.3,714.084,62.5326,111.457,673.231,62.3287
208,0,71.6968,713.345,61.8492,71.1915,673.607,62.1181,111.297,714.089,62.5095,111.499,673.271,62.2845
209,0,71.6972,713.348,61.8633,71.202,673.626,62.1253,111.535,714.127,62.6641,111.503,673.304,62.2835
210,0,71.6905,713.365,61.8365,71.2076,673.542,62.1662,111.555,714.118,62.6481,111.489,673.282,62.2986
211,0,71.7041,713.373,61.8523,71.1708,673.618,62.1018,111.328,714.099,62.5499,111.479,673.265,62.3173
212,0,71.7034,713.397,61.8445,71.2238,673.601,62.1043,111.314,714.085,62.5659,111.481,673.262,62.3069
213,0,71.7027,713.364,61.8488,71.2675,673.596,62.0484,111.301,714.104,62.5261,111.492,673.289,62.2893
214,0,71.6859,713.329,61.8482,71.2602,673.589,62.148,111.324,714.088,62.5232,111.487,673.307,62.2836
215,0,71.6494,713.395,61.8492,71.1767,673.599,62.1423,111.302,714.086,62.5518,111.495,673.291,62.3075
216,0,71.6864,713.353,61.848,71.2092,673.626,62.1122,111.323,714.109,62.5304,111.485,673.278,62.3
217,0,71.7068,713.391,61.8418,71.2009,673.593,62.1173,111.553,714.193,62.6404,111.478,673.275,62.3034
218,0,71.644,713.368,61.8704,71.254,673.619,62.1307,111.556,714.16,62.6746,111.485,673.279,62.2994
219,0,71.7068,713.389,61.8279,71.2253,673.59,62.1468,111.344,714.111,62.5477,111.483,673.266,62.2802
220,0,71.6249,713.366,61.8773,71.2217,673.623,62.1238,111.356,714.096,62.5481,111.499,673.325,62.295
221,0,71.697,713.346,61.8652,71.2424,673.666,62.1038,111.338,714.105,62.5339,111.5,673.26,62.3107
222,0,71.7067,713.332,61.8431,71.1871,673.625,62.1436,111.543,714.207,62.6166,111.468,673.235,62.3224
223,0,71.6588,713.376,61.858,71.1868,673.589,62.1617,111.353,714.067,62.5538,111.499,673.271,62.3025
224,0,71.6758,713.364,61.8534,71.1858,673.565,62.1668,111.319,714.062,62.557,111.487,673.28,62.3108
225,0,71.7235,713.399,61.8413,71.2232,673.611,62.1334,111.559,714.147,62.644,111.493,673.265,62.31
226,0,71.6901,713.347,61.8355,71.231,673.626,62.1123,111.327,714.079,62.5595,111.481,673.263,62.3117
227,0,71.6341,713.329,61.8794,71.2061,673.624,62.1212,111.31,714.08,62.5467,111.48,673.289,62.3095
